                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5322,                 2.0082,                 1.2326,                   0.65,                0.21592,                0.17116,                0.10516,                 1.2854,                 1.4151,                 1.1443,               0.070189,              0.0033124,              0.0033124
                      1,                 1.3754,                 1.1478,                 1.1256,                0.39056,                0.40534,                0.31649,                0.19847,                  1.279,                0.95181,                 1.1435,               0.039969,              0.0064264,              0.0064264
                      2,                 1.3761,                 1.0676,                 1.1204,                0.49965,                0.46493,                0.42234,                0.25595,                 1.2549,                0.94879,                 1.1247,              0.0095301,              0.0093204,              0.0093204
                      3,                 1.3452,                 1.0103,                 1.1087,                0.61591,                0.54015,                0.53743,                0.32728,                 1.2145,                0.83797,                 1.1125,                0.00901,                0.00901,                0.00901
                      4,                 1.2997,                0.92091,                  1.086,                 0.7168,                0.63699,                0.70176,                0.42874,                 1.1327,                0.77901,                 1.0688,                0.00901,                0.00901,                0.00901
                      5,                 1.2517,                0.86241,                 1.0647,                0.73132,                 0.7145,                 0.7396,                 0.4526,                 1.0979,                0.72242,                 1.0584,                0.00868,                0.00868,                0.00868
                      6,                 1.2246,                0.81392,                  1.057,                0.74167,                0.73935,                0.77359,                0.47094,                 1.1071,                0.72398,                 1.0573,                0.00835,                0.00835,                0.00835
                      7,                 1.1958,                0.77496,                 1.0522,                0.73326,                0.77738,                0.78628,                0.49539,                 1.0803,                0.65707,                 1.0461,                0.00802,                0.00802,                0.00802
                      8,                 1.1812,                0.75638,                 1.0394,                0.81771,                0.74365,                0.83306,                 0.5215,                 1.0795,                0.63603,                  1.041,                0.00769,                0.00769,                0.00769
                      9,                  1.164,                0.73706,                 1.0338,                0.80298,                0.75495,                0.82304,                0.51904,                 1.0706,                0.64207,                 1.0423,                0.00736,                0.00736,                0.00736
                     10,                 1.1605,                0.72197,                 1.0364,                0.80849,                0.76164,                 0.8313,                0.53176,                 1.0636,                0.60122,                  1.037,                0.00703,                0.00703,                0.00703
                     11,                 1.1477,                0.70394,                 1.0279,                0.83705,                0.80699,                0.86242,                0.55769,                 1.0537,                0.59346,                 1.0376,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.1427,                0.69565,                 1.0238,                  0.801,                0.80598,                 0.8522,                0.54497,                 1.0717,                0.59177,                 1.0438,                0.00637,                0.00637,                0.00637
                     13,                 1.1241,                0.67513,                  1.023,                0.80507,                0.80371,                0.86844,                0.55605,                 1.0684,                0.58145,                 1.0428,                0.00604,                0.00604,                0.00604
                     14,                 1.1156,                0.66606,                 1.0179,                0.80445,                0.82485,                0.87309,                0.56422,                 1.0507,                0.56796,                 1.0322,                0.00571,                0.00571,                0.00571
                     15,                 1.1087,                0.65356,                 1.0128,                0.81168,                0.82764,                0.87915,                  0.566,                 1.0434,                0.57139,                 1.0286,                0.00538,                0.00538,                0.00538
                     16,                 1.1048,                0.64521,                 1.0098,                0.86143,                0.82245,                 0.8917,                0.57967,                 1.0653,                0.58309,                  1.035,                0.00505,                0.00505,                0.00505
                     17,                 1.0893,                 0.6384,                 1.0045,                0.79922,                0.83903,                0.87294,                0.57116,                 1.0347,                0.55863,                 1.0232,                0.00472,                0.00472,                0.00472
                     18,                 1.0898,                0.62639,                 1.0036,                0.83111,                0.85258,                 0.8956,                0.59285,                 1.0315,                0.55894,                 1.0183,                0.00439,                0.00439,                0.00439
                     19,                 1.0848,                0.61947,                 1.0025,                0.85369,                0.83649,                0.90642,                0.58935,                 1.0341,                0.54743,                 1.0222,                0.00406,                0.00406,                0.00406
                     20,                 1.0561,                0.60317,                 1.0381,                0.84048,                0.86437,                0.89909,                0.59558,                  1.021,                0.54404,                 1.0139,                0.00373,                0.00373,                0.00373
                     21,                 1.0484,                0.58492,                  1.032,                 0.8468,                 0.8578,                0.89961,                0.59686,                 1.0119,                0.52408,                 1.0106,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0379,                0.57502,                 1.0263,                0.83061,                0.85032,                0.89841,                0.59299,                 1.0242,                0.52889,                 1.0141,                0.00307,                0.00307,                0.00307
                     23,                  1.037,                0.57349,                 1.0265,                0.85219,                0.83372,                0.89709,                0.60832,                 1.0063,                0.51483,                  1.009,                0.00274,                0.00274,                0.00274
                     24,                 1.0311,                0.56373,                  1.022,                0.89092,                 0.8549,                 0.9114,                0.59908,                 1.0101,                0.51647,                 1.0113,                0.00241,                0.00241,                0.00241
                     25,                  1.025,                0.55301,                  1.018,                0.85411,                0.85651,                0.88861,                0.60208,                 1.0087,                0.50801,                 1.0083,                0.00208,                0.00208,                0.00208
                     26,                 1.0185,                0.54456,                 1.0148,                0.87746,                0.86584,                0.91664,                0.61416,                  0.992,                0.49716,                 1.0024,                0.00175,                0.00175,                0.00175
                     27,                 1.0129,                0.53955,                 1.0168,                0.89935,                 0.8568,                0.91729,                0.61717,                0.99505,                0.49823,                 1.0008,                0.00142,                0.00142,                0.00142
                     28,                  1.003,                0.53245,                   1.01,                0.88681,                0.88292,                0.92428,                0.62473,                0.98607,                0.48855,                0.99822,                0.00109,                0.00109,                0.00109
                     29,                 1.0025,                0.52522,                 1.0065,                0.88991,                0.87375,                0.92664,                0.62634,                 0.9838,                0.48509,                0.99722,                0.00076,                0.00076,                0.00076
